INPUT                     STACK                                                                                                                                                                                                                                                                               ACTION
(')', ')')                [45, 'LITERAL_INT', 67, 'operator', 37, 'term', 41, '(', 67, 'operator', 37, 'term', 68, 'relationalOperator', 37, 'term', 41, '(', 68, 'relationalOperator', 37, 'term', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                REDUCE 21
(')', ')')                [39, 'constant', 67, 'operator', 37, 'term', 41, '(', 67, 'operator', 37, 'term', 68, 'relationalOperator', 37, 'term', 41, '(', 68, 'relationalOperator', 37, 'term', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                   REDUCE 46
(')', ')')                [37, 'term', 67, 'operator', 37, 'term', 41, '(', 67, 'operator', 37, 'term', 68, 'relationalOperator', 37, 'term', 41, '(', 68, 'relationalOperator', 37, 'term', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                       REDUCE 80
(')', ')')                [104, 'expression', 67, 'operator', 37, 'term', 41, '(', 67, 'operator', 37, 'term', 68, 'relationalOperator', 37, 'term', 41, '(', 68, 'relationalOperator', 37, 'term', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                REDUCE 78
(')', ')')                [86, 'expression', 41, '(', 67, 'operator', 37, 'term', 68, 'relationalOperator', 37, 'term', 41, '(', 68, 'relationalOperator', 37, 'term', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                             SHIFT 110
(')', ')')                [110, ')', 86, 'expression', 41, '(', 67, 'operator', 37, 'term', 68, 'relationalOperator', 37, 'term', 41, '(', 68, 'relationalOperator', 37, 'term', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                   REDUCE 49
(')', ')')                [37, 'term', 67, 'operator', 37, 'term', 68, 'relationalOperator', 37, 'term', 41, '(', 68, 'relationalOperator', 37, 'term', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                            REDUCE 80
(')', ')')                [104, 'expression', 67, 'operator', 37, 'term', 68, 'relationalOperator', 37, 'term', 41, '(', 68, 'relationalOperator', 37, 'term', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                     REDUCE 78
(')', ')')                [105, 'expression', 68, 'relationalOperator', 37, 'term', 41, '(', 68, 'relationalOperator', 37, 'term', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                                                 REDUCE 79
(')', ')')                [86, 'expression', 41, '(', 68, 'relationalOperator', 37, 'term', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                                                                                        SHIFT 110
(')', ')')                [110, ')', 86, 'expression', 41, '(', 68, 'relationalOperator', 37, 'term', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                                                                              REDUCE 49
(')', ')')                [37, 'term', 68, 'relationalOperator', 37, 'term', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                                                                                                       REDUCE 80
(')', ')')                [105, 'expression', 68, 'relationalOperator', 37, 'term', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                                                                                                REDUCE 79
(')', ')')                [61, 'expression', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                                                                                                                                       SHIFT 100
