INPUT                            STACK                                                                                                                                                                                                                                                                                                                                                                     ACTION
('(', '(')                       [33, 'functionName', 31, '(', 19, 'whil', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                                                                SHIFT 64
('IDENTIFIER', 'IDENTIFIER')     [64, '(', 33, 'functionName', 31, '(', 19, 'whil', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                                                       SHIFT 51
(',', ',')                       [51, 'IDENTIFIER', 64, '(', 33, 'functionName', 31, '(', 19, 'whil', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                                     REDUCE 45
(',', ',')                       [40, 'varName', 64, '(', 33, 'functionName', 31, '(', 19, 'whil', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                                        REDUCE 47
(',', ',')                       [103, 'term', 64, '(', 33, 'functionName', 31, '(', 19, 'whil', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                                          SHIFT 123
('IDENTIFIER', 'LITERAL_INT')    [123, ',', 103, 'term', 64, '(', 33, 'functionName', 31, '(', 19, 'whil', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                                SHIFT 51
(')', ')')                       [51, 'IDENTIFIER', 123, ',', 103, 'term', 64, '(', 33, 'functionName', 31, '(', 19, 'whil', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                              REDUCE 45
(')', ')')                       [40, 'varName', 123, ',', 103, 'term', 64, '(', 33, 'functionName', 31, '(', 19, 'whil', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                 REDUCE 47
(')', ')')                       [139, 'term', 123, ',', 103, 'term', 64, '(', 33, 'functionName', 31, '(', 19, 'whil', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                   REDUCE 99
(')', ')')                       [121, 'commaTerm', 103, 'term', 64, '(', 33, 'functionName', 31, '(', 19, 'whil', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                        SHIFT 138
